station_id;Sum;altitude;latitude;longitude;name;state
216;322;298;51.1143;7.8807;Attendorn-Neulisternohl;Nordrhein-Westfalen
1300;412;351;51.254;8.1565;Eslohe;Nordrhein-Westfalen
2483;501;839;51.1803;8.4891;Kahler Asten;Nordrhein-Westfalen
2947;294;286;51.1333;8.0348;Lennestadt-Theten;Nordrhein-Westfalen
3215;291;375;51.1683;8.7125;Medebach-Berge;Nordrhein-Westfalen
4488;374;443;51.2127;8.2672;Schmallenberg-Sellinghausen;Nordrhein-Westfalen
5468;346;418;50.9377;7.8475;Wenden-Dörnscheid;Nordrhein-Westfalen
6264;389;457;51.413999999999994;8.65;Brilon-Thülen;Nordrhein-Westfalen
7330;418;159;51.4633;7.978;Arnsberg-Neheim;Nordrhein-Westfalen
